3.889342	3.889342	enter
4.500000	4.500000	
4.833333	4.833333	
5.041667	5.041667	
5.500000	5.500000	
6.000000	6.000000	
6.541667	6.541667	
7.041667	7.041667	
7.541667	7.541667	
8.173424	8.173424	exit
12.132426	12.132426	enter
12.791667	12.791667	
13.083333	13.083333	
13.291667	13.291667	
13.750000	13.750000	
14.250000	14.250000	
14.791667	14.791667	
15.291667	15.291667	
15.750000	15.750000	
16.416667	16.416667	exit
20.770249	20.770249	enter
21.500000	21.500000	
22.166667	22.166667	
22.375000	22.375000	
22.875000	22.875000	
23.375000	23.375000	
23.833333	23.833333	
24.291667	24.291667	
25.041667	25.041667	exit
29.408073	29.408073	enter
30.166667	30.166667	
30.500000	30.500000	
31.125000	31.125000	
31.666667	31.666667	
32.166667	32.166667	
32.708333	32.708333	
33.208333	33.208333	
34.041667	34.041667	exit
